trial_id,status,duration_s,cfg_expected_difficulty,cfg_input_len,cfg_prompt,metric_avg_small_entropy,metric_avg_small_prob,metric_difficulty_label,metric_quality_retained,metric_seer_aborted,metric_tokens_saved_ratio
prompt_routing_t0001,completed,0.0000,easy,7,greeting,4.216814200083415,0.22820000847180685,0,1.0,1.0,0.0425
prompt_routing_t0002,completed,0.0000,easy,10,simple_math,1.706556995709737,0.5504869620005289,0,1.0,1.0,0.0425
prompt_routing_t0003,completed,0.0000,easy,5,yes_no,3.1692699591318765,0.4042164621253808,0,1.0,1.0,0.0425
prompt_routing_t0004,completed,0.0000,easy,5,definition,1.9674673477808635,0.664254387219747,0,1.0,1.0,0.0425
prompt_routing_t0005,completed,0.0000,easy,8,format,1.2961742410746713,0.6920307278633118,0,1.0,1.0,0.0425
prompt_routing_t0006,completed,0.0000,easy,6,list,2.3833621740341187,0.49199263751506805,0,1.0,1.0,0.0425
prompt_routing_t0007,completed,0.0000,easy,5,complete,3.123629093170166,0.3175765524307887,0,1.0,1.0,0.0425
prompt_routing_t0008,completed,0.0000,easy,7,emoji,4.044755299886067,0.24791925897200903,0,1.0,1.0,0.0425
prompt_routing_t0009,completed,0.0000,medium,11,explain_simple,1.4886907537778218,0.6529049177964529,1,1.0,1.0,0.0425
prompt_routing_t0010,completed,0.0000,medium,12,code_easy,1.6293360988299053,0.5881011784076691,1,1.0,1.0,0.0425
prompt_routing_t0011,completed,0.0000,medium,28,summarize,3.65208633740743,0.22233333686987558,1,1.0,1.0,0.0425
prompt_routing_t0012,completed,0.0000,medium,18,rewrite,4.301062107086182,0.16096505771080652,1,1.0,1.0,0.0425
prompt_routing_t0013,completed,0.0000,medium,10,translate_common,2.5175978342692056,0.5070489197969437,1,1.0,1.0,0.0425
prompt_routing_t0014,completed,0.0000,medium,18,classify,1.8813250909248989,0.5190457180142403,1,1.0,1.0,0.0425
prompt_routing_t0015,completed,0.0000,hard,25,reason_multi,0.6176337635455033,0.8471472064654032,2,1.0,1.0,0.0425
prompt_routing_t0016,completed,0.0000,hard,21,code_hard,1.6534117013216019,0.6422380159298579,2,1.0,1.0,0.0425
prompt_routing_t0017,completed,0.0000,hard,41,math_word,1.1768507808446884,0.7535931766033173,2,1.0,1.0,0.0425
prompt_routing_t0018,completed,0.0000,hard,17,creative_long,3.6605711778004966,0.23029891649881998,2,1.0,1.0,0.0425
prompt_routing_t0019,completed,0.0000,hard,10,debate,1.6788989153380196,0.5748055924971899,2,1.0,1.0,0.0425
prompt_routing_t0020,completed,0.0000,hard,19,translate_rare,2.896584073702494,0.34434130291144055,2,1.0,1.0,0.0425
prompt_routing_t0021,completed,0.0000,hard,34,multi_step,2.788696507612864,0.41385718683401745,2,1.0,1.0,0.0425
prompt_routing_t0022,completed,0.0000,hard,16,ambiguous,2.3001931123435497,0.6064648379882177,2,1.0,1.0,0.0425
